atleast, >d, done_percent, <ep, learning_curve, <np, nprod, optimism, pomposity, productivity_exp, productivity_new, r, to, ts, >dom, !klass
..9.88,46.45,..9.99,7.05,33.61..64.18,2.95,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.8,..0.97
..9.88,46.45,..9.99,7.97,33.61..64.18,2.03,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.7,..0.97
..9.88,46.45,..9.99,7.4,33.61..64.18,2.6,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.83,..0.97
..9.88,46.45,..9.99,5.44,33.61..64.18,4.56,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.75,..0.97
..9.88,46.45,..9.99,7.97,33.61..64.18,2.03,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.78,..0.97
..9.88,46.45,..9.99,7.77,33.61..64.18,2.23,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.73,..0.97
..9.88,46.45,..9.99,7.23,33.61..64.18,2.77,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.81,..0.97
..9.88,46.45,..9.99,7.14,33.61..64.18,2.86,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.71,..0.97
..9.88,46.45,..9.99,6.45,33.61..64.18,3.55,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.78,..0.97
..9.88,46.45,..9.99,5.72,33.61..64.18,4.28,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.75,..0.97
..9.88,46.45,..9.99,5.3,33.61..64.18,4.7,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.82,..0.97
..9.88,46.45,..9.99,6.55,33.61..64.18,3.45,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.76,..0.97
..9.88,46.45,..9.99,6.22,33.61..64.18,3.78,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.74,..0.97
..9.88,46.45,..9.99,6.76,33.61..64.18,3.24,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.82,..0.97
..9.88,46.45,..9.99,7.84,33.61..64.18,2.16,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.81,..0.97
..9.88,46.45,..9.99,7.63,33.61..64.18,2.37,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.83,..0.97
..9.88,46.45,..9.99,7.7,33.61..64.18,2.3,1.66..2.4,..99.92,26.78..,2.38..,0.52..0.66,822.37..,10.82..27.53,88.54..,0.76,..0.97
